model_name,task,n_shot,performance,metric_name
MultiSynt/nemotron-cc-portuguese-opus,flores200:eng_Latn-por_Latn,0,2.63858696092667,bleu
MultiSynt/nemotron-cc-german-tower72b,flores200:deu_Latn-eng_Latn,0,0.6793075430431457,bleu
MultiSynt/nemotron-cc-dutch-tower9b,flores200:nld_Latn-eng_Latn,0,2.2062355935769946,bleu
MultiSynt/nemotron-cc-french-tower9b,flores200:fra_Latn-eng_Latn,0,1.7927609439484105,bleu
HPLT/hplt2c_fin_checkpoints,flores200:fin_Latn-eng_Latn,0,7.183679598446821,bleu
HPLT/hplt2c_dan_checkpoints,flores200:dan_Latn-eng_Latn,0,5.2704794923331,bleu
MultiSynt/nemotron-cc-italian-tower72b,flores200:ita_Latn-eng_Latn,0,1.3951868938559713,bleu
MultiSynt/nemotron-cc-polish-tower9b,flores200:eng_Latn-pol_Latn,0,1.0455339920543087,bleu
HPLT/hplt2c_ron_checkpoints,flores200:eng_Latn-ron_Latn,0,8.90384959816965,bleu
MultiSynt/nemotron-cc-portuguese-opus,flores200:por_Latn-eng_Latn,0,1.1767844982538709,bleu
HPLT/hplt2c_deu_checkpoints,flores200:deu_Latn-eng_Latn,0,28.23480219050266,bleu
HPLT/hplt2c_fra_checkpoints,flores200:eng_Latn-fra_Latn,0,33.39363935165881,bleu
HPLT/hplt2c_por_checkpoints,flores200:por_Latn-eng_Latn,0,32.655676623845906,bleu
MultiSynt/nemotron-cc-dutch-tower9b,flores200:eng_Latn-nld_Latn,0,1.7106601923924811,bleu
HPLT/hplt2c_nld_checkpoints,flores200:eng_Latn-nld_Latn,0,11.377297864624644,bleu
HPLT/hplt2c_nld_checkpoints,flores200:nld_Latn-eng_Latn,0,13.822059533142271,bleu
MultiSynt/nemotron-cc-spanish-tower72b,flores200:spa_Latn-eng_Latn,0,0.945667229319104,bleu
MultiSynt/nemotron-cc-danish-tower9b,flores200:eng_Latn-dan_Latn,0,0.410596568515246,bleu
MultiSynt/nemotron-cc-swedish-tower72b,flores200:swe_Latn-eng_Latn,0,0.36111897768731116,bleu
HPLT/hplt2c_dan_checkpoints,flores200:eng_Latn-dan_Latn,0,8.776585257800786,bleu
MultiSynt/nemotron-cc-french-tower9b,flores200:eng_Latn-fra_Latn,0,2.938624026418223,bleu
MultiSynt/nemotron-cc-finnish-tower72b,flores200:eng_Latn-fin_Latn,0,3.424353519439753,bleu
HPLT/hplt2c_deu_checkpoints,flores200:eng_Latn-deu_Latn,0,21.66906914013804,bleu
HPLT/hplt2c_pol_checkpoints,flores200:eng_Latn-pol_Latn,0,9.445191015407753,bleu
MultiSynt/nemotron-cc-finnish-tower72b,flores200:fin_Latn-eng_Latn,0,0.7690708954361745,bleu
HPLT/hplt2c_swe_checkpoints,flores200:swe_Latn-eng_Latn,0,20.562142878963993,bleu
MultiSynt/nemotron-cc-romanian-tower9b,flores200:eng_Latn-ron_Latn,0,1.261394942943181,bleu
MultiSynt/nemotron-cc-swedish-tower72b,flores200:eng_Latn-swe_Latn,0,3.5974606480374445,bleu
HPLT/hplt2c_spa_checkpoints,flores200:spa_Latn-eng_Latn,0,19.437836176950867,bleu
HPLT/hplt2c_fra_checkpoints,flores200:fra_Latn-eng_Latn,0,33.564425373462335,bleu
MultiSynt/nemotron-cc-italian-tower72b,flores200:eng_Latn-ita_Latn,0,1.6085375951074385,bleu
MultiSynt/nemotron-cc-spanish-tower72b,flores200:eng_Latn-spa_Latn,0,1.074330231911052,bleu
